nodes,metric,manual_s,networkx_s,ratio
34,Degree,4.4e-05,0.000235,0.186
34,PageRank,0.001865,2.109417,0.001
34,Closeness,0.000413,0.000726,0.568
34,Betweenness,0.001265,0.001671,0.757
100,Degree,3.7e-05,2.2e-05,1.702
100,PageRank,0.008441,0.001463,5.77
100,Closeness,0.003618,0.003042,1.19
100,Betweenness,0.013757,0.014396,0.956
200,Degree,7.8e-05,3.7e-05,2.091
200,PageRank,0.015431,0.001834,8.412
200,Closeness,0.021415,0.011919,1.797
200,Betweenness,0.08631,0.081979,1.053
500,Degree,0.000279,9.4e-05,2.978
500,PageRank,0.090526,0.007717,11.73
500,Closeness,0.271729,0.073561,3.694
500,Betweenness,0.935198,0.87579,1.068
